x,y
2.39097,-0.817193
1.45393,-1.5557
1.62026,-2.24493
0.587255,-2.7793
0.352904,-2.66923
0,-2.85286
0,-2.65811
-0.55339,-2.38325
-1.6256,-1.94089
-1.99244,-1.1992
-2.0798,-0.722837
-2.7359,0.127879
-2.95942,1.20678
-2.72457,1.59723
-2.858,2.07424
-2.19191,2.67513
-1.94678,2.83314
-1.8721,3.25053
-0.307197,2.98646
-0.09986,2.8871
0.393234,2.18177
1.45782,1.93186
1.75462,1.42462
2.15734,0.888156
2.4513,0
2.77505,0
2.38666,-1.02453
2.0602,-1.07221
1.7005,-1.81796
1.81887,-2.17725
0.746397,-2.84798
0.747477,-2.73192
0,-2.76964
-0.44782,-2.4857
-0.736539,-2.46445
-1.73449,-1.34416
-2.00293,-0.360819
-2.94256,-0.248262
-2.82289,0.48725
-2.81794,1.03213
-2.94488,1.41385
-2.62149,2.20363
-2.49617,2.73398
-2.15558,2.94867
-1.09497,2.96429
-0.68831,3.15059
0.282188,2.46526
0.545111,2.10004
1.32969,1.8904
2.06669,0.76103
2.14412,0.384896
2.74894,0
2.85944,-0.338233
2.3128,-1.01937
2.0906,-1.66937
1.91534,-2.15618
0.859806,-2.37927
0.921505,-2.70072
0.228265,-2.91002
0,-2.59127
-0.585811,-2.49112
-0.76199,-1.69914
-2.16084,-1.47507
-1.87606,-0.561623
-2.63551,-0.352534
-2.55193,0.21992
-2.85785,1.55212
-2.88189,2.53687
-2.48278,2.39746
-2.28444,2.41439
-1.18263,2.81799
-1.09123,2.90394
-0.528645,2.93143
0.530998,2.26778
0.691074,2.02333
1.79743,2.3008
2.0302,0.577125
2.28122,0.208052
2.13676,0
2.4787,-0.562234
2.4445,-1.16951
2.20031,-2.03226
1.94977,-1.86872
1.28818,-2.66302
0.693502,-2.81716
0,-2.74822
0,-2.57131
-0.620166,-2.55428
-0.731166,-1.66874
-1.77843,-0.834263
-2.22042,-0.694533
-2.52672,-0.0480686
-2.45266,0.366047
-3.15853,1.2481
-2.90409,2.01156
-2.37056,2.65655
-2.17312,2.90277
-0.90182,2.76291
-1.11831,2.66436
0,2.70095
0.469288,2.36238
0.704042,1.78465
1.40032,1.20788
2.26394,0.646139
2.23332,0
2.35692,-0.235223
2.71163,-0.655122
2.215,-1.29747
1.64808,-1.88954
1.65266,-2.28282
0.751636,-2.38563
0.653058,-2.7633
0,-3.13709
0,-2.5958
-0.472926,-1.83061
-1.66648,-1.83871
-2.25799,-0.702484
-2.48602,-0.776582
-2.50559,0.0133576
-2.86018,1.02914
-2.79961,0.979731
-2.62262,2.21857
-2.20656,2.47353
-2.25061,2.96148
-1.27203,2.88675
-0.524291,2.56598
0.0716173,2.8229
0.557336,1.85331
1.27797,2.01099
2.02635,0.529344
2.28977,0.654352
2.28657,0
2.52034,-0.920177
2.20176,-1.074
2.01408,-1.72388
1.92657,-1.81431
0.85513,-2.53886
1.03516,-2.74177
0.205512,-2.65625
0,-2.75985
-0.60141,-2.55493
-0.526263,-1.92192
-1.44177,-1.67546
-2.16191,-0.450222
-2.32711,0
-2.6542,0.207706
-2.83518,0.862139
-2.40382,1.44688
-2.47754,2.5229
-2.48988,2.75677
-1.3957,3.06715
-1.51316,2.78536
-0.642254,2.96692
-0.0229327,2.56812
0.706905,2.08842
0.831386,1.89743
1.56707,1.10559
